ID Calon Mahasiswa,NISN,NIK,Nama Calon Mahasiswa,Email,No Telepon,Agama,Alamat,Jenis Kelamin,Tempat Tanggal Lahir,Tahun Lulus,Asal Sekolah
CM000014,1671103134,6402312442831915,Hesty Santoso,hesty.santoso412@gmail.com,089734658074,Islam,"Jl. Sultan Agung No.90, RT 07/RW 06, Kutai Kartanegara, Kalimantan Timur",Perempuan,"Kutai Kartanegara, 14/01/2007",2024,SMK Negeri 11 Kutai Kartanegara
CM000015,2884009952,1173260185845285,Krisna Oktavia,krisna.oktavia1647@gmail.com,088284056320,Islam,"Jl. Pahlawan No.122, RT 13/RW 07, Sabang, Aceh",Laki-laki,"Sabang, 18/06/2006",2025,SMKN 12 Sabang
CM000016,0565939194,1272462224088842,Okta Hasan,okta.hasan4046@gmail.com,083888244661,Islam,"Jl. Raya Utama No.8, RT 16/RW 04, Pematangsiantar, Sumatera Utara",Perempuan,"Pematangsiantar, 04/11/2004",2022,SMAN Nusantara Pematangsiantar
CM000017,2580103073,3275877030932622,Nita Ramadhani,nita.ramadhani9000@gmail.com,085249004003,Islam,"Jl. Raya Utama No.195, RT 16/RW 03, Bekasi, Jawa Barat",Perempuan,"Bekasi, 18/06/2007",2024,MA Negeri Hasanuddin Bekasi
CM000018,8471664947,9471082043202834,Teguh Anggraini,teguh.anggraini4192@gmail.com,082265624520,Islam,"Jl. Hayam Wuruk No.119, RT 09/RW 08, Jayapura, Papua",Laki-laki,"Jayapura, 06/05/2005",2024,MA Swasta Gajah Mada Jayapura
CM000019,7381656855,3278311336236351,Viola Nasution,viola.nasution3024@gmail.com,081201763475,Islam,"Jl. Gatot Subroto No.168, RT 18/RW 07, Tasikmalaya, Jawa Barat",Perempuan,"Tasikmalaya, 26/03/2005",2024,MAN 24 Tasikmalaya
CM000020,7278799487,7173971707315706,Erwin Nasution,erwin.nasution7143@gmail.com,089950321868,Kristen,"Jl. Merdeka No.29, RT 05/RW 10, Tomohon, Sulawesi Utara",Laki-laki,"Tomohon, 15/08/2007",2024,SMK Swasta 8 Tomohon
CM000021,9338027475,3273555340712903,Ayu Hermawan,ayu.hermawan6553@gmail.com,089645527547,Islam,"Jl. Merdeka No.121, RT 01/RW 05, Bandung, Jawa Barat",Perempuan,"Bandung, 08/04/2008",2025,SMKN Unggulan Bandung
CM000022,5454629348,5171117113156533,Arya Puspitasari,arya.puspitasari881@gmail.com,089728486205,Islam,"Jl. Brigjen Katamso No.69, RT 16/RW 03, Denpasar, Bali",Laki-laki,"Denpasar, 19/06/2005",2023,SMK Negeri Insan Kamil Denpasar
CM000023,2459435303,3274461918209357,Chandra Hutapea,chandra.hutapea6300@gmail.com,082329336874,Islam,"Jl. Veteran No.115, RT 08/RW 05, Cirebon, Jawa Barat",Laki-laki,"Cirebon, 02/03/2007",2025,SMKN 7 Cirebon
CM000024,6011203111,3578110455276906,Hana Kurniawan,hana.kurniawan2945@gmail.com,085338751524,Islam,"Jl. Imam Bonjol No.154, RT 02/RW 04, Surabaya, Jawa Timur",Perempuan,"Surabaya, 28/05/2006",2023,SMK Swasta 18 Surabaya
CM000025,1027123226,3575194133880979,Nita Pamungkas,nita.pamungkas7435@gmail.com,085849487287,Islam,"Jl. Sisingamangaraja No.193, RT 08/RW 09, Madiun, Jawa Timur",Perempuan,"Madiun, 07/12/2007",2025,SMA Swasta Diponegoro Madiun
CM000026,0462590193,8171845227597255,Irfan Putranto,irfan.putranto3974@gmail.com,081744398917,Islam,"Jl. Ahmad Yani No.122, RT 09/RW 05, Ambon, Maluku",Laki-laki,"Ambon, 10/11/2006",2020,SMAN Gajah Mada Ambon
CM000027,6298481268,3175992853208171,Erwin Permana,erwin.permana9930@gmail.com,089964869870,Islam,"Jl. Hayam Wuruk No.149, RT 19/RW 10, Jakarta Timur, DKI Jakarta",Laki-laki,"Jakarta Timur, 01/06/2007",2024,MA Swasta 11 Jakarta Timur
CM000028,3970436740,3404239116286923,Arya Hakim,arya.hakim9324@gmail.com,083841115723,Islam,"Jl. Pahlawan No.18, RT 13/RW 04, Sleman, DI Yogyakarta",Laki-laki,"Sleman, 26/04/2005",2024,SMKN 7 Sleman
CM000029,6774565198,6472037880768031,Yovita Kurniasih,yovita.kurniasih7237@gmail.com,085767033138,Islam,"Jl. Gatot Subroto No.36, RT 08/RW 06, Balikpapan, Kalimantan Timur",Perempuan,"Balikpapan, 05/04/2005",2024,MAN Terpadu Balikpapan
CM000030,0585345137,3276475962019808,Zainal Adiputra,zainal.adiputra5202@gmail.com,085547007224,Kristen,"Jl. Brigjen Katamso No.85, RT 02/RW 04, Depok, Jawa Barat",Laki-laki,"Depok, 05/12/2006",2024,MA Negeri Insan Kamil Depok
CM000031,7517817992,3373082633422044,Bunga Wardana,bunga.wardana5690@gmail.com,085336794187,Kristen,"Jl. Sudirman No.173, RT 12/RW 04, Salatiga, Jawa Tengah",Perempuan,"Salatiga, 23/03/2007",2024,SMK Negeri 1 Salatiga
CM000032,5315929210,3173856054421304,Dedy Septiani,dedy.septiani1592@gmail.com,085619681481,Kristen,"Jl. Hayam Wuruk No.58, RT 05/RW 03, Jakarta Barat, DKI Jakarta",Laki-laki,"Jakarta Barat, 28/12/2006",2024,MA Swasta Unggulan Jakarta Barat
CM000033,8947190290,1271135878396723,Dwita Hartono,dwita.hartono8168@gmail.com,085854710905,Islam,"Jl. Pemuda No.77, RT 10/RW 02, Sibolga, Sumatera Utara",Perempuan,"Sibolga, 12/03/2006",2025,SMK Negeri Diponegoro Sibolga
CM000034,0900506745,1273383639431500,Windy Yulianto,windy.yulianto1345@gmail.com,081399062389,Katolik,"Jl. Sultan Agung No.183, RT 08/RW 06, Binjai, Sumatera Utara",Perempuan,"Binjai, 07/03/2005",2023,SMAN Pembangunan Binjai
CM000035,7998378253,1274986478444534,Naufal Fitriani,naufal.fitriani2855@gmail.com,082114046937,Islam,"Jl. Diponegoro No.103, RT 06/RW 07, Tebing Tinggi, Sumatera Utara",Laki-laki,"Tebing Tinggi, 12/05/2005",2023,SMA Swasta Pancasila Tebing Tinggi
CM000036,0105783943,9407459611172383,Budi Pratama,budi.pratama94@gmail.com,081588835242,Islam,"Jl. Merdeka No.94, RT 11/RW 05, Mimika, Papua",Laki-laki,"Mimika, 07/10/2005",2024,SMA Swasta 17 Mimika
CM000037,9615907815,1272226751627765,Rina Fitriani,rina.fitriani7387@gmail.com,085863974119,Islam,"Jl. Ahmad Yani No.127, RT 10/RW 03, Pematangsiantar, Sumatera Utara",Perempuan,"Pematangsiantar, 03/09/2005",2023,SMAN 4 Pematangsiantar
CM000038,6649561827,3273167320704010,Bhanu Sudirman,bhanu.sudirman6462@gmail.com,081606915335,Islam,"Jl. Soekarno Hatta No.151, RT 04/RW 09, Bandung, Jawa Barat",Laki-laki,"Bandung, 02/01/2006",2025,MA Negeri Kartini Bandung
CM000039,7110642176,3174355024396009,Hani Mulyadi,hani.mulyadi9053@gmail.com,088118959900,Islam,"Jl. Imam Bonjol No.74, RT 06/RW 06, Jakarta Selatan, DKI Jakarta",Perempuan,"Jakarta Selatan, 06/09/2005",2024,SMA Swasta 23 Jakarta Selatan
CM000040,8028264506,9471828666312468,Putri Wardana,putri.wardana6759@gmail.com,085591356014,Islam,"Jl. Pemuda No.154, RT 13/RW 10, Jayapura, Papua",Perempuan,"Jayapura, 24/12/2007",2025,SMAN Pembangunan Jayapura
CM000041,5053463730,1275261375365863,Nurul Sudirman,nurul.sudirman2473@gmail.com,089920474193,Islam,"Jl. Panglima Besar No.196, RT 01/RW 09, Medan, Sumatera Utara",Laki-laki,"Medan, 17/01/2005",2022,SMK Swasta 24 Medan
CM000042,8716395571,8172125507753637,Hadi Wardana,hadi.wardana6869@gmail.com,083114812119,Islam,"Jl. MT. Haryono No.157, RT 12/RW 01, Tual, Maluku",Laki-laki,"Tual, 24/12/2005",2022,MA Swasta 17 Tual
CM000043,6793441013,3274779950660450,Muhammad Wijaya,muhammad.wijaya7035@gmail.com,085234650245,Islam,"Jl. Brigjen Katamso No.101, RT 05/RW 04, Cirebon, Jawa Barat",Laki-laki,"Cirebon, 06/07/2005",2024,MAN Diponegoro Cirebon
CM000044,0209536141,3401541042494717,Dwita Sulistyowati,dwita.sulistyowati9522@gmail.com,085843680205,Islam,"Jl. Diponegoro No.64, RT 02/RW 08, Kulon Progo, DI Yogyakarta",Perempuan,"Kulon Progo, 06/08/2007",2025,SMA Negeri 19 Kulon Progo
CM000045,3429147903,3201808215031608,Tari Saputra,tari.saputra1895@gmail.com,082260714107,Islam,"Jl. Sisingamangaraja No.61, RT 08/RW 06, Bogor, Jawa Barat",Perempuan,"Bogor, 06/09/2007",2025,SMK Swasta 1 Bogor
CM000046,0195833566,3403310851528585,Okvia Ramadhan,okvia.ramadhan4914@gmail.com,087799023039,Islam,"Jl. Raya Utama No.61, RT 18/RW 10, Gunung Kidul, DI Yogyakarta",Perempuan,"Gunung Kidul, 17/08/2006",2025,SMKN 7 Gunung Kidul
CM000047,8549334960,8172746702736837,Ika Soetomo,ika.soetomo8360@gmail.com,089845664523,Kristen,"Jl. Cut Nyak Dien No.98, RT 18/RW 08, Tual, Maluku",Perempuan,"Tual, 15/07/2005",2023,SMKN Pancasila Tual
CM000048,8789719241,7371982545303263,Irwan Sulistyowati,irwan.sulistyowati9471@gmail.com,089855798291,Islam,"Jl. Brigjen Katamso No.82, RT 10/RW 03, Makassar, Sulawesi Selatan",Laki-laki,"Makassar, 13/10/2006",2024,SMA Negeri 8 Makassar
CM000049,5217282166,1275121712784848,Oscar Iskandar,oscar.iskandar8718@gmail.com,089696656312,Islam,"Jl. Tentara Pelajar No.146, RT 04/RW 04, Medan, Sumatera Utara",Laki-laki,"Medan, 19/08/2004",2023,SMKN Terpadu Medan
CM000050,5043161261,7372376840837122,Ika Manurung,ika.manurung1906@gmail.com,085593244950,Islam,"Jl. Soekarno Hatta No.84, RT 15/RW 03, Parepare, Sulawesi Selatan",Perempuan,"Parepare, 15/08/2006",2025,SMAN Hasanuddin Parepare
CM000051,3748848396,3373073083000173,Oscar Kurniasih,oscar.kurniasih6739@gmail.com,089897111117,Islam,"Jl. Sultan Agung No.139, RT 09/RW 05, Salatiga, Jawa Tengah",Laki-laki,"Salatiga, 05/11/2007",2024,SMAN Unggulan Salatiga
CM000052,8469179892,1173308913681995,Tari Halim,tari.halim5864@gmail.com,082371202151,Islam,"Jl. Teuku Umar No.97, RT 12/RW 09, Sabang, Aceh",Perempuan,"Sabang, 02/01/2006",2023,MA Negeri 17 Sabang
CM000053,2206081467,5203131186953531,Guntur Rahayu,guntur.rahayu8383@gmail.com,082354262992,Islam,"Jl. Cut Nyak Dien No.170, RT 02/RW 04, Sumbawa, Nusa Tenggara Barat",Laki-laki,"Sumbawa, 21/12/2006",2023,MAN Kartini Sumbawa
CM000054,1620129980,1471701159060962,Sinta Ramadhan,sinta.ramadhan4284@gmail.com,081801059217,Kristen,"Jl. RE. Martadinata No.61, RT 11/RW 04, Pekanbaru, Riau",Perempuan,"Pekanbaru, 09/08/2004",2023,SMAN 16 Pekanbaru
CM000055,4869258341,3401037870019247,Bima Permana,bima.permana9456@gmail.com,081349420289,Islam,"Jl. Teuku Umar No.39, RT 15/RW 04, Kulon Progo, DI Yogyakarta",Laki-laki,"Kulon Progo, 03/04/2006",2025,SMAN 2 Kulon Progo
CM000056,6172793157,1402673072335892,Kartika Hidayat,kartika.hidayat4077@gmail.com,083878300934,Islam,"Jl. Diponegoro No.163, RT 03/RW 03, Bengkalis, Riau",Perempuan,"Bengkalis, 06/12/2007",2025,MAN 1 Bengkalis
CM000057,5805875441,3573608329951008,Nurul Prasetyo,nurul.prasetyo6327@gmail.com,081108962054,Islam,"Jl. Panglima Besar No.128, RT 14/RW 01, Malang, Jawa Timur",Laki-laki,"Malang, 19/02/2006",2024,SMA Negeri Plus Malang
CM000058,8433486278,6474239895997758,Muhammad Wibowo,muhammad.wibowo50@gmail.com,088273761080,Islam,"Jl. Sisingamangaraja No.184, RT 08/RW 07, Bontang, Kalimantan Timur",Laki-laki,"Bontang, 23/09/2006",2023,MA Negeri 19 Bontang
CM000059,8445378540,3404776652164950,Naufal Maulana,naufal.maulana6367@gmail.com,085865564497,Islam,"Jl. Raya Utama No.32, RT 01/RW 02, Sleman, DI Yogyakarta",Laki-laki,"Sleman, 13/07/2005",2023,SMK Swasta 2 Sleman
CM000060,7732096229,1173819388944690,Adinda Rasyid,adinda.rasyid202@gmail.com,081159937639,Islam,"Jl. RE. Martadinata No.88, RT 03/RW 09, Sabang, Aceh",Perempuan,"Sabang, 17/03/2006",2024,SMA Swasta Sudirman Sabang
CM000061,5812426697,1401928691388998,Indah Safitri,indah.safitri8097@gmail.com,081849077703,Islam,"Jl. Sudirman No.98, RT 18/RW 03, Kampar, Riau",Perempuan,"Kampar, 04/12/2008",2025,SMAN Muhammadiyah Kampar
CM000062,3059692511,7372982845228494,Lestari Septiani,lestari.septiani8032@gmail.com,081464082740,Islam,"Jl. Tentara Pelajar No.120, RT 04/RW 05, Parepare, Sulawesi Selatan",Perempuan,"Parepare, 04/02/2006",2023,MA Negeri 11 Parepare
CM000063,9034531451,5272421988522997,Sigit Kusuma,sigit.kusuma6975@gmail.com,081918839592,Islam,"Jl. Brigjen Katamso No.99, RT 19/RW 05, Bima, Nusa Tenggara Barat",Laki-laki,"Bima, 26/11/2006",2025,MA Swasta 21 Bima
CM000064,8290520406,5108870585678556,Dani Lestari,dani.lestari2490@gmail.com,087771190077,Islam,"Jl. Teuku Umar No.96, RT 02/RW 02, Karangasem, Bali",Laki-laki,"Karangasem, 24/07/2005",2022,SMK Swasta Muhammadiyah Karangasem
CM000065,9645738638,5103712765043473,Willy Ramadhani,willy.ramadhani8768@gmail.com,083803600133,Islam,"Jl. Tentara Pelajar No.193, RT 14/RW 08, Tabanan, Bali",Laki-laki,"Tabanan, 10/04/2004",2023,MA Swasta Al-Azhar Tabanan
CM000066,2859059303,3277663394204311,Ayu Nuraini,ayu.nuraini2240@gmail.com,085254981416,Islam,"Jl. Tentara Pelajar No.161, RT 04/RW 02, Cimahi, Jawa Barat",Perempuan,"Cimahi, 23/01/2006",2024,SMA Swasta Budi Utomo Cimahi
CM000067,7119043459,1273189890556050,Zahra Septiani,zahra.septiani7783@gmail.com,085365494129,Islam,"Jl. Soekarno Hatta No.137, RT 13/RW 05, Binjai, Sumatera Utara",Perempuan,"Binjai, 17/08/2005",2022,MA Swasta 3 Binjai
CM000068,5812831466,3403975908726273,Ferry Sihombing,ferry.sihombing9964@gmail.com,081527094374,Islam,"Jl. Tentara Pelajar No.20, RT 07/RW 07, Gunung Kidul, DI Yogyakarta",Laki-laki,"Gunung Kidul, 23/09/2005",2024,SMKN Insan Kamil Gunung Kidul
CM000069,2544297846,3671593674190316,Umar Fitriani,umar.fitriani868@gmail.com,082285854471,Islam,"Jl. Veteran No.25, RT 06/RW 05, Tangerang, Banten",Laki-laki,"Tangerang, 12/12/2006",2023,MA Negeri Terpadu Tangerang
CM000070,5735964441,7306473607597364,Nadia Halim,nadia.halim4884@gmail.com,081670933708,Islam,"Jl. Sudirman No.134, RT 13/RW 10, Gowa, Sulawesi Selatan",Perempuan,"Gowa, 19/06/2007",2025,SMK Negeri 9 Gowa
CM000071,1105788764,7172737971601648,Hesty Lubis,hesty.lubis9680@gmail.com,085296270640,Islam,"Jl. Soekarno Hatta No.94, RT 08/RW 03, Bitung, Sulawesi Utara",Perempuan,"Bitung, 16/01/2005",2024,MAN 18 Bitung
CM000072,4424252029,3572885644081926,Kukuh Permana,kukuh.permana6356@gmail.com,085510399382,Islam,"Jl. Soekarno Hatta No.1, RT 17/RW 06, Blitar, Jawa Timur",Laki-laki,"Blitar, 23/11/2004",2023,MA Swasta 6 Blitar
CM000073,4508583775,6472443951927777,Yasmin Maulana,yasmin.maulana2457@gmail.com,087878285620,Islam,"Jl. Pemuda No.151, RT 20/RW 09, Balikpapan, Kalimantan Timur",Perempuan,"Balikpapan, 22/01/2008",2025,MAN 6 Balikpapan
CM000074,2867229254,1801430928748548,Ivan Adiputra,ivan.adiputra2095@gmail.com,089886001650,Kristen,"Jl. Panglima Besar No.186, RT 08/RW 05, Lampung Selatan, Lampung",Laki-laki,"Lampung Selatan, 01/06/2007",2024,SMK Negeri 19 Lampung Selatan
CM000075,7131578009,3575146033301711,Julia Rasyid,julia.rasyid1249@gmail.com,081281365515,Islam,"Jl. Imam Bonjol No.142, RT 19/RW 04, Madiun, Jawa Timur",Perempuan,"Madiun, 13/06/2006",2024,MA Swasta Nusantara Madiun
CM000076,8683743706,3404420470724469,Aldi Wardana,aldi.wardana1743@gmail.com,089580894570,Islam,"Jl. Teuku Umar No.179, RT 16/RW 08, Sleman, DI Yogyakarta",Laki-laki,"Sleman, 17/06/2003",2022,MA Negeri 7 Sleman
CM000077,1092368731,1801054013246559,Dina Sinaga,dina.sinaga4712@gmail.com,085228716422,Islam,"Jl. RE. Martadinata No.84, RT 01/RW 07, Lampung Selatan, Lampung",Perempuan,"Lampung Selatan, 23/05/2003",2022,SMKN Muhammadiyah Lampung Selatan
CM000078,7936123022,1871523872583719,Mira Suharto,mira.suharto8217@gmail.com,085545833452,Islam,"Jl. Pemuda No.142, RT 10/RW 05, Bandar Lampung, Lampung",Perempuan,"Bandar Lampung, 05/03/2006",2023,MA Negeri 6 Bandar Lampung
CM000079,3062342603,1871144179927772,Ulfa Fitriani,ulfa.fitriani1797@gmail.com,089783428639,Islam,"Jl. Panglima Besar No.127, RT 18/RW 05, Bandar Lampung, Lampung",Perempuan,"Bandar Lampung, 22/12/2006",2024,MA Swasta 14 Bandar Lampung
CM000080,6770630230,1172795623305037,Naufal Oktavia,naufal.oktavia5238@gmail.com,088215024557,Islam,"Jl. Imam Bonjol No.20, RT 14/RW 02, Lhokseumawe, Aceh",Laki-laki,"Lhokseumawe, 10/02/2006",2023,SMKN Unggulan Lhokseumawe
CM000081,4487475755,3674326337642399,Yasmin Andriani,yasmin.andriani4616@gmail.com,083142015141,Islam,"Jl. Teuku Umar No.116, RT 03/RW 09, Tangerang Selatan, Banten",Perempuan,"Tangerang Selatan, 17/08/2005",2023,SMK Negeri 25 Tangerang Selatan
CM000082,9785133650,5271204347678917,Hafiz Maulana,hafiz.maulana7154@gmail.com,085727735249,Kristen,"Jl. Soekarno Hatta No.85, RT 08/RW 09, Mataram, Nusa Tenggara Barat",Laki-laki,"Mataram, 12/02/2003",2022,MAN Islam Terpadu Mataram
CM000083,9833521658,3173340233629532,Dwi Budiman,dwi.budiman4642@gmail.com,081548835493,Islam,"Jl. Hayam Wuruk No.106, RT 18/RW 07, Jakarta Barat, DKI Jakarta",Laki-laki,"Jakarta Barat, 08/08/2005",2023,SMA Swasta Diponegoro Jakarta Barat
CM000084,1531544372,6472568927204394,Yasmin Firmansyah,yasmin.firmansyah9444@gmail.com,087723903234,Islam,"Jl. Pahlawan No.165, RT 18/RW 09, Balikpapan, Kalimantan Timur",Perempuan,"Balikpapan, 24/10/2004",2022,MAN 23 Balikpapan
CM000085,4714323159,1801705328422213,Cinta Andriani,cinta.andriani1922@gmail.com,089945285531,Islam,"Jl. Gatot Subroto No.5, RT 04/RW 03, Lampung Selatan, Lampung",Perempuan,"Lampung Selatan, 23/01/2005",2024,MAN 4 Lampung Selatan
CM000086,6401332470,3319328538538512,Vina Prasetyo,vina.prasetyo8975@gmail.com,089889748937,Islam,"Jl. MT. Haryono No.136, RT 10/RW 06, Kudus, Jawa Tengah",Perempuan,"Kudus, 06/04/2006",2023,MAN Budi Utomo Kudus
CM000087,0427441250,5201355738582314,Tari Wahyudi,tari.wahyudi9324@gmail.com,081122867972,Islam,"Jl. Teuku Umar No.44, RT 05/RW 10, Lombok Barat, Nusa Tenggara Barat",Perempuan,"Lombok Barat, 02/12/2006",2025,MA Negeri 19 Lombok Barat
CM000088,1770995930,1402778336815686,Budi Kurniawan,budi.kurniawan2422@gmail.com,081612441496,Islam,"Jl. Pahlawan No.33, RT 13/RW 02, Bengkalis, Riau",Laki-laki,"Bengkalis, 10/11/2006",2024,MAN 1 Bengkalis
CM000089,9659648641,5104405954835834,Guntur Manurung,guntur.manurung5801@gmail.com,089716505586,Kristen,"Jl. Cut Nyak Dien No.189, RT 07/RW 01, Gianyar, Bali",Laki-laki,"Gianyar, 05/03/2006",2025,MA Swasta Plus Gianyar
CM000090,6498140426,1872942324663617,Laras Santoso,laras.santoso5648@gmail.com,085679124345,Islam,"Jl. Hayam Wuruk No.141, RT 08/RW 01, Metro, Lampung",Perempuan,"Metro, 17/07/2006",2021,SMAN Terpadu Metro
CM000091,9655372708,6471521144659321,Bunga Ramadhan,bunga.ramadhan2716@gmail.com,081352774522,Islam,"Jl. Pahlawan No.147, RT 18/RW 04, Samarinda, Kalimantan Timur",Perempuan,"Samarinda, 09/02/2006",2023,MA Swasta Pancasila Samarinda
CM000092,6620153929,1271434236941097,Citra Sudirman,citra.sudirman7521@gmail.com,081543381115,Islam,"Jl. Hayam Wuruk No.67, RT 04/RW 02, Sibolga, Sumatera Utara",Perempuan,"Sibolga, 22/04/2007",2024,MAN 13 Sibolga
CM000093,2419581908,3578153535102627,Irfan Salim,irfan.salim1835@gmail.com,085817838463,Islam,"Jl. Veteran No.101, RT 07/RW 03, Surabaya, Jawa Timur",Laki-laki,"Surabaya, 05/03/2006",2023,SMA Negeri 20 Surabaya
CM000094,2881989350,3173426998908959,Naufal Purnomo,naufal.purnomo7877@gmail.com,081987526517,Islam,"Jl. Soekarno Hatta No.84, RT 07/RW 09, Jakarta Barat, DKI Jakarta",Laki-laki,"Jakarta Barat, 10/09/2003",2022,SMK Swasta Terpadu Jakarta Barat
CM000095,7813838753,3173298476938445,Hafiz Putranto,hafiz.putranto5601@gmail.com,081629482277,Islam,"Jl. Diponegoro No.53, RT 13/RW 04, Jakarta Barat, DKI Jakarta",Laki-laki,"Jakarta Barat, 01/04/2005",2024,MA Swasta Pembangunan Jakarta Barat
CM000096,3614042436,3509253195418815,Endah Manurung,endah.manurung1243@gmail.com,087858862413,Islam,"Jl. Teuku Umar No.26, RT 20/RW 09, Jember, Jawa Timur",Perempuan,"Jember, 08/04/2005",2022,SMK Swasta Insan Kamil Jember
CM000097,9603717525,1173387356158583,Uswah Nuraini,uswah.nuraini4759@gmail.com,081163655625,Islam,"Jl. Soekarno Hatta No.36, RT 06/RW 08, Sabang, Aceh",Perempuan,"Sabang, 26/12/2006",2023,MA Swasta Harapan Bangsa Sabang
CM000098,9489993468,3171174971814568,Intan Lestari,intan.lestari1333@gmail.com,083851542575,Konghucu,"Jl. MT. Haryono No.64, RT 20/RW 01, Jakarta Pusat, DKI Jakarta",Perempuan,"Jakarta Pusat, 11/11/2008",2025,SMKN 6 Jakarta Pusat
CM000099,9374385025,3373405585145292,Vivi Mahendra,vivi.mahendra5576@gmail.com,081258014142,Islam,"Jl. Panglima Besar No.181, RT 12/RW 08, Salatiga, Jawa Tengah",Perempuan,"Salatiga, 20/03/2007",2024,SMAN 11 Salatiga
CM000100,9450019602,1402441312765546,Kirana Nugraha,kirana.nugraha4566@gmail.com,089846517436,Islam,"Jl. Cut Nyak Dien No.22, RT 08/RW 05, Bengkalis, Riau",Perempuan,"Bengkalis, 25/07/2008",2025,MA Negeri Sudirman Bengkalis
CM000101,4435380672,3172696633252591,Raka Nugroho,raka.nugroho8233@gmail.com,089553428064,Kristen,"Jl. Soekarno Hatta No.79, RT 14/RW 01, Jakarta Utara, DKI Jakarta",Laki-laki,"Jakarta Utara, 13/08/2006",2024,SMK Negeri 21 Jakarta Utara
CM000102,2147950897,6402058313923268,Surya Kurniasih,surya.kurniasih3505@gmail.com,085815772266,Islam,"Jl. Gatot Subroto No.69, RT 20/RW 04, Kutai Kartanegara, Kalimantan Timur",Laki-laki,"Kutai Kartanegara, 21/01/2006",2025,SMK Swasta 12 Kutai Kartanegara
