ID Calon Mahasiswa,NISN,NIK,Nama Calon Mahasiswa,Email,No Telepon,Agama,Alamat,Jenis Kelamin,Tempat Tanggal Lahir,Tahun Lulus,Asal Sekolah
CM000090,6498140426,1872942324663617,Laras Santoso,laras.santoso5648@gmail.com,85679124345,Islam,"Jl. Hayam Wuruk No.141, RT 08/RW 01, Metro, Lampung",Perempuan,"Metro, 17/07/2006",2021,SMAN Terpadu Metro
CM000094,2881989350,3173426998908959,Naufal Purnomo,naufal.purnomo7877@gmail.com,81987526517,Islam,"Jl. Soekarno Hatta No.84, RT 07/RW 09, Jakarta Barat, DKI Jakarta",Laki-laki,"Jakarta Barat, 10/09/2003",2022,SMK Swasta Terpadu Jakarta Barat
CM000096,3614042436,3509253195418815,Endah Manurung,endah.manurung1243@gmail.com,87858862413,Islam,"Jl. Teuku Umar No.26, RT 20/RW 09, Jember, Jawa Timur",Perempuan,"Jember, 08/04/2005",2022,SMK Swasta Insan Kamil Jember
CM000105,3637288110,3673090788514694,Oki Prasetyo,oki.prasetyo7612@gmail.com,82232015164,Islam,"Jl. Sisingamangaraja No.60, RT 19/RW 02, Serang, Banten",Laki-laki,"Serang, 14/05/2007",2020,SMA Swasta 11 Serang
CM000109,6460096222,5171170648450336,Intan Lubis,intan.lubis3405@gmail.com,89953155310,Islam,"Jl. Brigjen Katamso No.10, RT 09/RW 06, Denpasar, Bali",Perempuan,"Denpasar, 05/03/2005",2022,SMAN 15 Denpasar
CM000113,2200272386,5171665417977784,Putra Kurniasih,putra.kurniasih6681@gmail.com,89730681537,Islam,"Jl. MT. Haryono No.23, RT 04/RW 10, Denpasar, Bali",Laki-laki,"Denpasar, 21/06/2005",2022,SMA Swasta 3 Denpasar
CM000115,9759638273,1373444089491632,Lukman Hartono,lukman.hartono7143@gmail.com,81286238688,Islam,"Jl. Sisingamangaraja No.166, RT 03/RW 10, Solok, Sumatera Barat",Laki-laki,"Solok, 15/07/2007",2020,SMAN Insan Kamil Solok
CM000118,8018955797,9471825053980173,Hafiz Sihombing,hafiz.sihombing1287@gmail.com,81731925474,Islam,"Jl. MT. Haryono No.133, RT 17/RW 02, Jayapura, Papua",Laki-laki,"Jayapura, 05/08/2004",2022,SMK Swasta 19 Jayapura
CM000121,8456889686,6402696076291229,Danang Santoso,danang.santoso3730@gmail.com,89779473604,Islam,"Jl. Pahlawan No.78, RT 04/RW 08, Kutai Kartanegara, Kalimantan Timur",Laki-laki,"Kutai Kartanegara, 21/10/2003",2022,SMAN 12 Kutai Kartanegara
CM000125,1773555371,8172626949898042,Joko Suharto,joko.suharto8831@gmail.com,83838210910,Islam,"Jl. Merdeka No.59, RT 03/RW 10, Tual, Maluku",Laki-laki,"Tual, 03/09/2004",2022,MA Swasta Muhammadiyah Tual
CM000133,7534015931,3671320282085938,Krisna Puspitasari,krisna.puspitasari9919@gmail.com,81634383941,Islam,"Jl. Sultan Agung No.150, RT 01/RW 03, Tangerang, Banten",Laki-laki,"Tangerang, 03/11/2005",2022,SMA Negeri 19 Tangerang
CM000142,1123303590,6472951122973920,Nurul Handayani,nurul.handayani9248@gmail.com,85686281493,Islam,"Jl. Imam Bonjol No.59, RT 09/RW 04, Balikpapan, Kalimantan Timur",Laki-laki,"Balikpapan, 25/05/2003",2022,SMKN Diponegoro Balikpapan
CM000143,1133989704,9271918103672526,Umar Mulyadi,umar.mulyadi5933@gmail.com,81698726854,Islam,"Jl. Gatot Subroto No.52, RT 12/RW 03, Sorong, Papua",Laki-laki,"Sorong, 28/04/2007",2020,MA Negeri Pancasila Sorong
CM000147,1554429511,1374261417921795,Olivia Safitri,olivia.safitri5237@gmail.com,85219568930,Islam,"Jl. Tentara Pelajar No.57, RT 13/RW 10, Payakumbuh, Sumatera Barat",Perempuan,"Payakumbuh, 25/09/2003",2022,SMA Swasta Cendekia Payakumbuh
CM000148,9672894411,1402625488054874,Wulan Oktavia,wulan.oktavia8096@gmail.com,82324828210,Islam,"Jl. MT. Haryono No.172, RT 05/RW 04, Bengkalis, Riau",Perempuan,"Bengkalis, 11/01/2003",2022,SMAN 24 Bengkalis
CM000161,1123095492,5102640096316585,Ilham Gunawan,ilham.gunawan5905@gmail.com,82352384587,Islam,"Jl. Teuku Umar No.137, RT 10/RW 08, Badung, Bali",Laki-laki,"Badung, 14/02/2004",2022,SMA Swasta Insan Kamil Badung
CM000163,5469409911,3573863932533962,Priska Wahyuningsih,priska.wahyuningsih832@gmail.com,89635236918,Katolik,"Jl. Gatot Subroto No.105, RT 05/RW 08, Malang, Jawa Timur",Perempuan,"Malang, 27/12/2005",2022,MA Swasta Kartini Malang
CM000186,5580467738,3171387166843380,Willy Lubis,willy.lubis1249@gmail.com,81475587967,Islam,"Jl. Ahmad Yani No.11, RT 06/RW 09, Jakarta Pusat, DKI Jakarta",Laki-laki,"Jakarta Pusat, 03/06/2004",2022,MA Negeri Diponegoro Jakarta Pusat
CM000187,5802826752,3171715266336416,Budi Wahyudi,budi.wahyudi551@gmail.com,81907450661,Islam,"Jl. Imam Bonjol No.42, RT 18/RW 06, Jakarta Pusat, DKI Jakarta",Laki-laki,"Jakarta Pusat, 17/08/2003",2022,SMA Negeri 24 Jakarta Pusat
CM000192,1695238026,6474448170768645,Galuh Ramadhani,galuh.ramadhani1932@gmail.com,82293950952,Islam,"Jl. MT. Haryono No.77, RT 10/RW 02, Bontang, Kalimantan Timur",Perempuan,"Bontang, 28/07/2003",2022,SMAN Plus Bontang
CM000203,8689768769,1471838226856901,Widya Wardana,widya.wardana9518@gmail.com,87731380324,Islam,"Jl. Panglima Besar No.56, RT 20/RW 04, Pekanbaru, Riau",Perempuan,"Pekanbaru, 16/03/2003",2022,SMK Swasta Al-Azhar Pekanbaru
CM000213,659079471,3175154093428960,Willy Andriani,willy.andriani2947@gmail.com,85325423794,Islam,"Jl. Tentara Pelajar No.176, RT 10/RW 04, Jakarta Timur, DKI Jakarta",Laki-laki,"Jakarta Timur, 17/11/2004",2022,SMK Swasta Ahmad Dahlan Jakarta Timur
CM000219,5295243690,8101746945456968,Budi Wahyuningsih,budi.wahyuningsih9605@gmail.com,85588722517,Islam,"Jl. Soekarno Hatta No.117, RT 07/RW 02, Maluku Tengah, Maluku",Laki-laki,"Maluku Tengah, 25/08/2005",2022,SMK Swasta 15 Maluku Tengah
CM000228,5592281949,9407281151031234,Hani Putranto,hani.putranto6186@gmail.com,81415258390,Islam,"Jl. Sultan Agung No.197, RT 06/RW 02, Mimika, Papua",Perempuan,"Mimika, 16/12/2003",2022,SMKN Harapan Bangsa Mimika
CM000229,414181183,8172832308627661,Andika Rasyid,andika.rasyid7370@gmail.com,89899232610,Islam,"Jl. Diponegoro No.60, RT 14/RW 07, Tual, Maluku",Laki-laki,"Tual, 19/02/2006",2020,SMA Swasta Kartini Tual
CM000240,6815384452,1271346798535061,Clara Lubis,clara.lubis3881@gmail.com,85605120085,Islam,"Jl. Veteran No.65, RT 09/RW 08, Sibolga, Sumatera Utara",Perempuan,"Sibolga, 01/09/2004",2022,SMKN Hasanuddin Sibolga
CM000242,3895192083,3202680312138337,Maya Ibrahim,maya.ibrahim6344@gmail.com,81885276623,Islam,"Jl. Pahlawan No.5, RT 03/RW 09, Sukabumi, Jawa Barat",Perempuan,"Sukabumi, 24/06/2003",2022,SMA Swasta 21 Sukabumi
CM000249,8545112398,1372556502185113,Nurul Pratama,nurul.pratama6580@gmail.com,87814454334,Islam,"Jl. Merdeka No.77, RT 02/RW 09, Bukittinggi, Sumatera Barat",Laki-laki,"Bukittinggi, 13/12/2004",2022,MA Swasta Diponegoro Bukittinggi
CM000250,6736790830,6402023288386741,Cahyo Lestari,cahyo.lestari9599@gmail.com,81627860760,Islam,"Jl. Panglima Besar No.86, RT 19/RW 09, Kutai Kartanegara, Kalimantan Timur",Laki-laki,"Kutai Kartanegara, 21/01/2004",2022,SMK Swasta Plus Kutai Kartanegara
CM000251,6251067803,1172352550915050,Guntur Gunawan,guntur.gunawan7395@gmail.com,85773627835,Islam,"Jl. Panglima Besar No.103, RT 08/RW 02, Lhokseumawe, Aceh",Laki-laki,"Lhokseumawe, 14/07/2007",2020,SMK Swasta Nusantara Lhokseumawe
CM000282,3550483665,3672262143930230,Hana Oktaviani,hana.oktaviani6377@gmail.com,83143488370,Islam,"Jl. Hayam Wuruk No.15, RT 05/RW 01, Cilegon, Banten",Perempuan,"Cilegon, 02/06/2004",2020,MAN 5 Cilegon
CM000305,2928579636,1272367023900170,Elsa Mulyadi,elsa.mulyadi2195@gmail.com,81360218564,Islam,"Jl. MT. Haryono No.30, RT 06/RW 05, Pematangsiantar, Sumatera Utara",Perempuan,"Pematangsiantar, 05/02/2004",2022,MAN 6 Pematangsiantar
CM000307,2063747994,8172704931672155,Vivi Budiman,vivi.budiman5567@gmail.com,83145456578,Islam,"Jl. Hayam Wuruk No.180, RT 06/RW 06, Tual, Maluku",Perempuan,"Tual, 27/08/2004",2022,SMAN 2 Tual
CM000326,4048722869,3402942578305397,Udin Prasetyo,udin.prasetyo46@gmail.com,83138970255,Islam,"Jl. Pemuda No.95, RT 10/RW 05, Bantul, DI Yogyakarta",Laki-laki,"Bantul, 21/08/2004",2022,MA Negeri 2 Bantul
CM000329,5921039215,1872926178559303,Ferry Anggraini,ferry.anggraini9099@gmail.com,89689666345,Islam,"Jl. Hayam Wuruk No.53, RT 06/RW 10, Metro, Lampung",Laki-laki,"Metro, 24/09/2004",2022,MA Negeri 17 Metro
CM000341,4289876337,1871225814412685,Danang Suryadi,danang.suryadi6537@gmail.com,81162922355,Islam,"Jl. Pahlawan No.96, RT 16/RW 08, Bandar Lampung, Lampung",Laki-laki,"Bandar Lampung, 14/08/2005",2022,SMA Negeri 13 Bandar Lampung
CM000344,1976265819,3171417675802309,Amelia Azzahra,amelia.azzahra2746@gmail.com,83835931276,Katolik,"Jl. Sudirman No.125, RT 03/RW 05, Jakarta Pusat, DKI Jakarta",Perempuan,"Jakarta Pusat, 09/06/2003",2022,MAN 4 Jakarta Pusat
CM000345,3484284708,1275890987327286,Naufal Iskandar,naufal.iskandar8316@gmail.com,82263723219,Islam,"Jl. MT. Haryono No.80, RT 18/RW 08, Medan, Sumatera Utara",Laki-laki,"Medan, 07/11/2005",2022,MA Swasta Cendekia Medan
CM000350,1681324049,3404082877043959,Yoga Prasetyo,yoga.prasetyo1416@gmail.com,81449007534,Islam,"Jl. Brigjen Katamso No.52, RT 16/RW 05, Sleman, DI Yogyakarta",Laki-laki,"Sleman, 28/12/2004",2022,MA Swasta 14 Sleman
CM000361,1908150692,3201860524157807,Dwita Puspitasari,dwita.puspitasari361@gmail.com,88198902414,Islam,"Jl. Cut Nyak Dien No.45, RT 10/RW 08, Bogor, Jawa Barat",Perempuan,"Bogor, 18/07/2003",2022,SMAN Diponegoro Bogor
CM000364,9770512512,8171928722335147,Udin Handayani,udin.handayani6172@gmail.com,81722055237,Islam,"Jl. Raya Utama No.96, RT 20/RW 10, Ambon, Maluku",Laki-laki,"Ambon, 23/03/2004",2022,SMK Swasta Sudirman Ambon
CM000368,8022909554,7306812260614155,Nabila Hermawan,nabila.hermawan8516@gmail.com,81674124312,Islam,"Jl. Veteran No.40, RT 06/RW 08, Gowa, Sulawesi Selatan",Perempuan,"Gowa, 07/01/2003",2022,MAN Diponegoro Gowa
CM000385,1218004058,9471197441729228,Salsa Safitri,salsa.safitri3124@gmail.com,81306003994,Islam,"Jl. Imam Bonjol No.88, RT 16/RW 03, Jayapura, Papua",Perempuan,"Jayapura, 09/10/2003",2022,SMA Negeri Harapan Bangsa Jayapura
CM000389,6120368276,6471760703204089,Teguh Purnomo,teguh.purnomo4643@gmail.com,83855454707,Islam,"Jl. Pemuda No.69, RT 18/RW 09, Samarinda, Kalimantan Timur",Laki-laki,"Samarinda, 13/02/2004",2022,SMA Negeri Plus Samarinda
CM000393,5614324882,1371491719623402,Irwan Anggraini,irwan.anggraini4837@gmail.com,85523312260,Islam,"Jl. Imam Bonjol No.127, RT 10/RW 07, Padang, Sumatera Barat",Laki-laki,"Padang, 01/11/2005",2022,MAN Islam Terpadu Padang
CM000396,7524444441,3572814318123418,Guntur Handayani,guntur.handayani632@gmail.com,88152069223,Islam,"Jl. Raya Utama No.71, RT 07/RW 06, Blitar, Jawa Timur",Laki-laki,"Blitar, 27/07/2004",2022,SMA Negeri 23 Blitar
CM000407,5407392163,3278197358976697,Joko Purnomo,joko.purnomo2417@gmail.com,85299549468,Islam,"Jl. RE. Martadinata No.25, RT 04/RW 04, Tasikmalaya, Jawa Barat",Laki-laki,"Tasikmalaya, 06/02/2004",2022,MA Negeri 24 Tasikmalaya
CM000415,9820678705,3401138118121105,Vivi Yulianto,vivi.yulianto1326@gmail.com,82137645612,Islam,"Jl. Raya Utama No.155, RT 08/RW 02, Kulon Progo, DI Yogyakarta",Perempuan,"Kulon Progo, 01/05/2005",2022,SMKN 12 Kulon Progo
CM000417,7075489369,3172069679461975,Zainal Sihombing,zainal.sihombing9390@gmail.com,81744981074,Islam,"Jl. Sultan Agung No.121, RT 17/RW 05, Jakarta Utara, DKI Jakarta",Laki-laki,"Jakarta Utara, 22/01/2004",2022,SMK Negeri Harapan Bangsa Jakarta Utara
CM000422,4483210000,1374109483629640,Okta Andriani,okta.andriani8404@gmail.com,85870528118,Islam,"Jl. Panglima Besar No.161, RT 06/RW 09, Payakumbuh, Sumatera Barat",Perempuan,"Payakumbuh, 26/03/2003",2022,SMAN Cendekia Payakumbuh
CM000429,1716597064,6472603436772579,Rara Suryadi,rara.suryadi8238@gmail.com,88175829849,Islam,"Jl. Panglima Besar No.76, RT 14/RW 10, Balikpapan, Kalimantan Timur",Perempuan,"Balikpapan, 07/04/2004",2022,SMK Swasta Cendekia Balikpapan
CM000440,6522538114,1173553176847379,Endah Hakim,endah.hakim8379@gmail.com,85215306512,Islam,"Jl. Pahlawan No.90, RT 03/RW 04, Sabang, Aceh",Perempuan,"Sabang, 01/05/2004",2022,SMK Negeri 7 Sabang
CM000442,3282719768,3404748225794027,Bella Iskandar,bella.iskandar4510@gmail.com,81262735412,Kristen,"Jl. Tentara Pelajar No.176, RT 07/RW 01, Sleman, DI Yogyakarta",Perempuan,"Sleman, 12/03/2005",2022,SMK Swasta 23 Sleman
CM000445,5118074036,3172828943241319,Joko Oktaviani,joko.oktaviani1276@gmail.com,82116997215,Islam,"Jl. Ahmad Yani No.34, RT 04/RW 09, Jakarta Utara, DKI Jakarta",Laki-laki,"Jakarta Utara, 04/06/2005",2022,SMKN 24 Jakarta Utara
CM000451,9084986205,3402392203221210,Hafiz Permana,hafiz.permana3742@gmail.com,87750136384,Islam,"Jl. Teuku Umar No.63, RT 17/RW 02, Bantul, DI Yogyakarta",Laki-laki,"Bantul, 24/07/2005",2022,MA Swasta Cendekia Bantul
CM000453,9805622063,1371423161148186,Dwita Nuraini,dwita.nuraini7525@gmail.com,81539723336,Islam,"Jl. Imam Bonjol No.85, RT 06/RW 06, Padang, Sumatera Barat",Perempuan,"Padang, 28/08/2003",2022,MAN Sudirman Padang
CM000458,1793305318,5171282516123413,Budi Handayani,budi.handayani5903@gmail.com,87725906398,Islam,"Jl. Tentara Pelajar No.5, RT 03/RW 07, Denpasar, Bali",Laki-laki,"Denpasar, 14/02/2004",2022,SMA Negeri 1 Denpasar
CM000465,2896225531,3275850173962238,Umar Prasetyo,umar.prasetyo2126@gmail.com,81665303345,Islam,"Jl. Panglima Besar No.50, RT 18/RW 01, Bekasi, Jawa Barat",Laki-laki,"Bekasi, 02/02/2004",2022,SMK Negeri Unggulan Bekasi
CM000475,3904872021,9471621726140457,Intan Putranto,intan.putranto6675@gmail.com,82217050005,Islam,"Jl. Diponegoro No.101, RT 18/RW 04, Jayapura, Papua",Perempuan,"Jayapura, 24/08/2003",2022,SMAN Muhammadiyah Jayapura
CM000477,149917676,5271959234819632,Mirza Hartono,mirza.hartono8867@gmail.com,89823843429,Islam,"Jl. Pemuda No.5, RT 02/RW 01, Mataram, Nusa Tenggara Barat",Laki-laki,"Mataram, 20/10/2005",2022,SMKN Terpadu Mataram
CM000479,6429599970,3404761318551997,Danang Sinaga,danang.sinaga6689@gmail.com,88262244627,Islam,"Jl. Soekarno Hatta No.143, RT 04/RW 07, Sleman, DI Yogyakarta",Laki-laki,"Sleman, 13/09/2003",2022,MAN 3 Sleman
CM000481,2798906222,3376002208000269,Rahma Siregar,rahma.siregar6892@gmail.com,81755303729,Katolik,"Jl. Pemuda No.106, RT 01/RW 10, Tegal, Jawa Tengah",Perempuan,"Tegal, 27/08/2005",2022,SMK Swasta 19 Tegal
CM000484,2667086245,3173647681192981,Nurul Lestari,nurul.lestari9753@gmail.com,82143862699,Kristen,"Jl. Sisingamangaraja No.76, RT 07/RW 06, Jakarta Barat, DKI Jakarta",Laki-laki,"Jakarta Barat, 21/06/2003",2022,SMAN Diponegoro Jakarta Barat
CM000485,3069933905,3674643369189099,Zara Yulianto,zara.yulianto5337@gmail.com,81109220600,Islam,"Jl. Sultan Agung No.180, RT 16/RW 07, Tangerang Selatan, Banten",Perempuan,"Tangerang Selatan, 27/02/2003",2022,MA Swasta Terpadu Tangerang Selatan
CM000505,6003928398,1372234241048856,Umar Pratama,umar.pratama2017@gmail.com,81775513946,Islam,"Jl. Sisingamangaraja No.185, RT 14/RW 07, Bukittinggi, Sumatera Barat",Laki-laki,"Bukittinggi, 14/04/2005",2022,SMK Negeri Budi Utomo Bukittinggi
CM000514,4399788650,1801604859966619,Annisa Hartono,annisa.hartono1461@gmail.com,81922004810,Islam,"Jl. Pahlawan No.29, RT 14/RW 05, Lampung Selatan, Lampung",Perempuan,"Lampung Selatan, 28/06/2003",2022,MA Negeri Gajah Mada Lampung Selatan
CM000516,7754540861,3571326991789845,Tari Wahyudi,tari.wahyudi3719@gmail.com,89744026160,Islam,"Jl. Diponegoro No.198, RT 07/RW 04, Kediri, Jawa Timur",Perempuan,"Kediri, 03/08/2004",2022,SMAN Islam Terpadu Kediri
CM000527,7996221568,6474582281600023,Faisal Pratama,faisal.pratama5298@gmail.com,85638714506,Katolik,"Jl. Raya Utama No.112, RT 16/RW 04, Bontang, Kalimantan Timur",Laki-laki,"Bontang, 02/09/2004",2022,MAN 13 Bontang
CM000533,4322456378,5103431531149523,Erwin Iskandar,erwin.iskandar2424@gmail.com,85713845877,Islam,"Jl. RE. Martadinata No.163, RT 04/RW 08, Tabanan, Bali",Laki-laki,"Tabanan, 11/03/2005",2022,MAN Plus Tabanan
CM000538,5214900088,9471337987921067,Willy Salim,willy.salim7216@gmail.com,82363886356,Islam,"Jl. Raya Utama No.176, RT 20/RW 06, Jayapura, Papua",Laki-laki,"Jayapura, 24/05/2005",2022,SMA Negeri Kartini Jayapura
CM000539,6585521265,7174608683571247,Wulan Situmorang,wulan.situmorang4350@gmail.com,87741428137,Islam,"Jl. Sudirman No.101, RT 15/RW 03, Kotamobagu, Sulawesi Utara",Perempuan,"Kotamobagu, 26/03/2004",2022,MA Negeri Nusantara Kotamobagu
CM000546,6285323846,3574641584706022,Priska Hutapea,priska.hutapea3846@gmail.com,81559551842,Islam,"Jl. Sudirman No.149, RT 14/RW 04, Probolinggo, Jawa Timur",Perempuan,"Probolinggo, 17/06/2005",2022,SMA Swasta 19 Probolinggo
CM000555,6643986430,1174380722460100,Okvia Hasan,okvia.hasan7402@gmail.com,81764426014,Islam,"Jl. Sultan Agung No.176, RT 12/RW 02, Langsa, Aceh",Perempuan,"Langsa, 16/01/2003",2022,SMKN 19 Langsa
CM000559,4550572921,6472315084798370,Dwi Hartono,dwi.hartono2632@gmail.com,87779489071,Islam,"Jl. Veteran No.41, RT 15/RW 02, Balikpapan, Kalimantan Timur",Laki-laki,"Balikpapan, 09/07/2004",2020,SMK Negeri 15 Balikpapan
CM000573,1001426664,3171285642400986,Zaki Suharto,zaki.suharto2318@gmail.com,81817001796,Islam,"Jl. Pemuda No.22, RT 09/RW 09, Jakarta Pusat, DKI Jakarta",Laki-laki,"Jakarta Pusat, 01/01/2004",2022,SMK Swasta Pancasila Jakarta Pusat
CM000580,8119012383,1371117703511852,Rara Budiman,rara.budiman3270@gmail.com,85680652178,Islam,"Jl. Veteran No.140, RT 14/RW 01, Padang, Sumatera Barat",Perempuan,"Padang, 13/12/2003",2022,SMA Swasta 15 Padang
CM000584,9877488285,3373749673827345,Faisal Santoso,faisal.santoso1550@gmail.com,82355601543,Islam,"Jl. Gatot Subroto No.126, RT 17/RW 04, Salatiga, Jawa Tengah",Laki-laki,"Salatiga, 18/09/2004",2022,MA Swasta Islam Terpadu Salatiga
CM000587,7890328323,3674705321247856,Hafiz Andriani,hafiz.andriani6132@gmail.com,85235026536,Islam,"Jl. Gatot Subroto No.154, RT 06/RW 02, Tangerang Selatan, Banten",Laki-laki,"Tangerang Selatan, 26/02/2004",2022,SMKN Plus Tangerang Selatan
CM000602,1770051448,3576899000562041,Mirza Santoso,mirza.santoso9506@gmail.com,83100374214,Islam,"Jl. Sultan Agung No.98, RT 12/RW 09, Pasuruan, Jawa Timur",Laki-laki,"Pasuruan, 21/04/2004",2022,MAN Harapan Bangsa Pasuruan
CM000604,813342557,3672562550076593,Oscar Wardana,oscar.wardana1854@gmail.com,89532040823,Kristen,"Jl. Imam Bonjol No.81, RT 09/RW 02, Cilegon, Banten",Laki-laki,"Cilegon, 10/01/2004",2022,SMAN Gajah Mada Cilegon
CM000605,9925827315,3576143417519300,Danang Andriani,danang.andriani2553@gmail.com,81636954689,Kristen,"Jl. Soekarno Hatta No.46, RT 15/RW 03, Pasuruan, Jawa Timur",Laki-laki,"Pasuruan, 09/03/2003",2022,SMA Negeri 17 Pasuruan
CM000608,7648055248,7306191723454934,Windy Salim,windy.salim9089@gmail.com,89870786535,Islam,"Jl. Merdeka No.113, RT 10/RW 10, Gowa, Sulawesi Selatan",Perempuan,"Gowa, 01/11/2004",2022,SMK Negeri 13 Gowa
CM000610,1576338701,9407297683760173,Lina Sinaga,lina.sinaga7520@gmail.com,89501351921,Islam,"Jl. Pahlawan No.58, RT 06/RW 05, Mimika, Papua",Perempuan,"Mimika, 22/01/2003",2022,MA Negeri Muhammadiyah Mimika
CM000611,5095851574,6474176295213873,Dedy Lubis,dedy.lubis4793@gmail.com,87831047995,Islam,"Jl. Gatot Subroto No.147, RT 14/RW 10, Bontang, Kalimantan Timur",Laki-laki,"Bontang, 02/05/2005",2022,SMKN Plus Bontang
CM000614,2462871163,3375922681079262,Ayu Hutapea,ayu.hutapea5453@gmail.com,81744942130,Islam,"Jl. Merdeka No.194, RT 10/RW 04, Pekalongan, Jawa Tengah",Perempuan,"Pekalongan, 26/10/2005",2022,MA Swasta Kartini Pekalongan
CM000632,5758994832,1872078321179861,Xena Nugraha,xena.nugraha4648@gmail.com,82284634298,Islam,"Jl. Gatot Subroto No.11, RT 04/RW 08, Metro, Lampung",Perempuan,"Metro, 23/12/2005",2022,SMK Swasta 14 Metro
CM000635,9007361367,3402393906705168,Tika Mahendra,tika.mahendra695@gmail.com,85802908550,Islam,"Jl. Sisingamangaraja No.122, RT 06/RW 07, Bantul, DI Yogyakarta",Perempuan,"Bantul, 24/04/2005",2022,SMK Negeri Sudirman Bantul
CM000651,1622188546,3372138471072942,Tika Mulyadi,tika.mulyadi7950@gmail.com,85631988795,Islam,"Jl. Tentara Pelajar No.2, RT 09/RW 02, Surakarta, Jawa Tengah",Perempuan,"Surakarta, 17/03/2004",2022,SMKN 4 Surakarta
CM000655,4907715000,1471314781298175,Yusuf Lestari,yusuf.lestari3614@gmail.com,88187106540,Islam,"Jl. Panglima Besar No.154, RT 02/RW 03, Pekanbaru, Riau",Laki-laki,"Pekanbaru, 07/02/2007",2021,MA Negeri 12 Pekanbaru
CM000656,3685789914,5104862629269061,Ragil Firmansyah,ragil.firmansyah9857@gmail.com,89728587594,Islam,"Jl. Hayam Wuruk No.149, RT 08/RW 02, Gianyar, Bali",Laki-laki,"Gianyar, 10/09/2003",2022,SMK Negeri 14 Gianyar
CM000662,2789541429,1374197396096370,Dina Ramadhan,dina.ramadhan7954@gmail.com,82106514872,Islam,"Jl. Sudirman No.123, RT 01/RW 09, Payakumbuh, Sumatera Barat",Perempuan,"Payakumbuh, 18/02/2003",2022,SMK Swasta 13 Payakumbuh
CM000664,1584863417,3278415919712195,Nanda Nugraha,nanda.nugraha1937@gmail.com,89839649018,Islam,"Jl. Soekarno Hatta No.98, RT 17/RW 09, Tasikmalaya, Jawa Barat",Laki-laki,"Tasikmalaya, 08/03/2003",2022,SMA Negeri Al-Azhar Tasikmalaya
